Name,Disc. Date,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray
SN2019orb,8/24/19,40:34.7,+14:52:48.30,0.02723,Ic,5,1,,
SN2019omd,8/24/19,36:57.8,-03:49:39.17,0.082,Ib,4,,,
SN2019oli,8/23/19,58:06.0,-15:33:31.00,0.065,Ib,5,1,,
AT2019oje,8/22/19,58:28.4,-37:32:19.55,0.045,IIb,1,1,,
SN2019odp,8/21/19,"23:07:19.090,23:07:19.2","+13:51:21.41,+13:51:21.24,+13:51:21.6",0.014353,Ic BL,33,1,,
SN2019ocy,8/21/19,50:21.5,+41:09:42.87,0.018,Ib,1,1,,
SN2019ofk,8/20/19,18:30.1,+18:28:30.27,0.03561,IIb,4,1,,
SN2019obh,8/18/19,36:22.2,-10:22:19.94,0.03555,IIb,4,1,,
SN2019npv,8/16/19,53:32.3,-23:49:58.48,0.056,Ib,3,1,,
AT2019npw,8/16/19,55:52.4,-25:46:59.81,0.163,IIb,2,,,
SN2019nxu,8/15/19,03:12.4,-10:50:07.02,0.0296,Ib,4,1,,
SN2019nkf,8/12/19,40:58.9,+65:30:55.30,0.0108,Ic,5,1,,
SN2019nep,8/10/19,03:16.4,+53:36:28.85,0.0383,Ic BL,2,1,,
SN2019moc,8/4/19,"23:55:45.998,23:55:45.84","+21:57:19.51,+21:57:19.8",0.0558,Ic BL,15,1,,
SN2019mny,8/4/19,47:09.8,-45:13:26.49,0.038,Ic,1,1,,
SN2019mof,8/4/19,06:05.1,-28:00:51.27,0.027,Ic BL,1,1,,
SN2019mbz,7/30/19,26:00.2,+50:25:19.16,0.027,Ib/c,2,,,
SN2019luy,7/26/19,24:21.4,+10:06:08.86,0.045,Ib,3,1,,
SN2019ltw,7/25/19,"16:18:38.495,16:18:38.4","+21:58:23.25,+21:58:23.16",0.016077,IIb,8,1,,
SN2019lsm,7/25/19,"14:35:02.612,14:35:02.64","+14:46:37.60,+14:46:37.56",0.04168,Ibn,6,1,,
SN2019lrb,7/21/19,"13:07:03.010,13:07:02.88,13:07:03.12,13:07:02.794","+13:04:29.65,+13:04:28.2,+13:04:29.64,+13:04:27.88",0.027439,Ic,4,1,,
SN2019oyj,7/15/19,46:34.8,+25:06:54.74,0.031,Ib/c,2,1,,
SN2019lgc,7/14/19,"00:14:54.036,00:14:54.03","+36:18:03.29,+36:18:03.2",0.0354,IIb,11,,,
SN2019lfj,7/12/19,57:48.8,+13:10:34.21,0.0888,Ic,2,1,,
SN2019lci,7/11/19,"16:31:01.622,16:31:01.68","+08:28:23.91,+08:28:23.736",0.0292,Ic BL,9,1,,
SN2019loe,7/8/19,51:55.7,+10:52:49.11,0.115,Ic BL,2,1,,
SN2019krw,7/5/19,"17:50:10.315,17:50:10.32","+40:13:32.94,+40:13:32.8",0.047,Ic,5,,,
SN2019klq,7/4/19,"16:15:55.266,16:15:55.2,16:15:55.22","+68:21:21.17,+68:21:20.88,+68:21:21.0",0.0254,Ib,14,,,
SN2019ilo,6/29/19,21:54.4,+32:25:19.42,0.0343,Ic,17,1,,
SN2019iij,6/28/19,"14:56:33.559,14:56:33.6","-25:50:11.08,-25:50:11.04",0.02895,IIb,8,1,,
SN2019jyn,6/28/19,30:20.3,-14:52:04.34,0.073,Ic,4,1,,
SN2019igh,6/27/19,"14:13:39.491,14:13:39.49","+07:39:25.38,+07:39:25.3",0.0235,IIb,5,,,
SN2019ieh,6/26/19,"16:42:10.843,16:42:10.8,16:42:10.84","+06:59:02.42,+06:59:02.472,+06:59:02.5,+06:59:02.508",0.032,Ic BL,21,,,
SN2019iga,6/26/19,"20:15:29.123,20:15:29.12","-09:03:10.23,-09:03:10.6",0.04,Ib,8,,,
SN2019icf,6/23/19,37:36.3,+43:31:03.43,0.034,Ic,3,1,,
SN2019iep,6/23/19,06:18.6,+25:27:45.51,0.057,Ibn,3,,,
SN2019hty,6/19/19,"12:55:33.010,12:55:33.02","+32:12:21.97,+32:12:21.6",0.02283,Ib-Ca-rich,13,,,
SN2019hte,6/14/19,34:13.6,+21:36:05.89,0.08528,IIb,3,,,
SN2019hjg,6/9/19,"15:44:12.638,15:44:12.63","+41:06:56.41,+41:06:56.4",0.041,Ic,27,,,
SN2019gwc,6/4/19,"16:03:26.876,16:03:26.88","+38:11:02.69,+38:11:02.76,+38:11:02.6",0.038003,Ic BL,12,,,
SN2019gvp,6/3/19,46:35.5,-31:35:31.28,0.015,Ib,1,1,,
SN2019gyx,6/2/19,56:30.6,-03:06:08.48,0.02,Ib,7,1,,
SN2019hbr,6/2/19,08:09.8,+27:00:13.18,0.029157,Ic,5,,,
SN2019hsx,6/2/19,12:56.2,+68:21:45.21,0.020652,Ic BL,2,1,,
SN2019hge,5/31/19,"22:24:21.205,22:24:21.12","+24:47:17.11,+24:47:17.16",0.09,IIb,21,,,
SN2019gcl,5/30/19,56:55.0,+22:08:31.51,0.0225,Ic BL,2,1,,
SN2019gqd,5/28/19,"16:28:50.128,16:28:50.12","+39:50:03.65,+39:50:03.7",0.035695,Ic,39,1,,
SN2019gaf,5/27/19,"20:36:55.248,20:36:55.2,20:36:55.23","+02:48:24.48,+02:48:24.588,+02:48:24.6",0.006,IIb,26,,,
SN2019fyy,5/25/19,54:58.2,-01:53:55.69,0.0362,Ic,3,,,
SN2019fxo,5/23/19,"11:03:52.610,11:03:52.56","-03:20:13.28,-03:20:13.308",0.024,Ib/c,22,1,,
SN2019fks,5/15/19,"21:41:16.509,21:41:16.50","-16:53:22.78,-16:53:22.9",0.05,IIb,9,,,
SN2019fie,5/14/19,"09:04:50.224,21:19:08.64","+00:56:40.50,+09:20:39.192",0.076,Ic BL,39,1,,
SN2019fco,5/13/19,"10:32:04.696,10:32:04.71","+46:55:03.92,+46:55:03.5",0.04058,IIb,18,1,,
SN2019eto,5/7/19,"09:49:50.634,09:49:50.64","+12:41:43.12,+12:41:43.44",0.029921,Ic BL,1,1,,
SN2019eix,5/1/19,"18:42:42.889,18:42:42.96,18:42:42.90","+40:22:07.80,+40:22:08.04,+40:22:08.0",0.018369,Ic,19,,,
SN2019ehk,4/29/19,"12:22:56.130,12:22:56.16,12:22:56.14","+15:49:33.60,+15:49:33.96,+15:49:34.0",0.005,Ib,21,,,
SN2019txt,4/28/19,59:06.4,+17:49:10.00,0.026346,Ib,1,,,
SN2019eff,4/25/19,"16:33:39.144,16:33:39.14","+13:54:36.60,+13:54:36.6",0.05,IIb,23,1,,
SN2019txr,4/25/19,42:31.9,+56:17:42.19,0.044,Ib/c,1,1,,
SN2019dwy,4/24/19,"11:14:10.822,11:14:10.8,11:14:10.584","+70:46:04.55,+70:46:04.08,+70:46:04.44,+70:46:04.94",0.045,Ic,6,1,,
SN2019eev,4/21/19,"09:57:05.874,09:57:05.85","+08:04:10.23,+08:04:10.1",0.042,IIb,5,,,
SN2019dxr,4/15/19,"15:11:27.144,15:11:27.15","+05:12:01.59,+05:12:02.0",0.04,Ib,25,,,
SN2019dps,4/15/19,"20:58:41.566,20:58:41.52","-54:11:06.92,-54:11:06.72,-54:11:07.08",0.044107,Ic,9,1,,
SN2019dld,4/11/19,46:39.4,+45:38:51.92,0.018,Ic,3,1,,
SN2019dgw,4/11/19,11:11.8,+48:29:33.54,0.095,Ib,2,1,,
SN2019dgz,4/10/19,16:04.6,+29:51:06.25,0.0364,Ib,8,1,,
SN2019dwa,4/10/19,"15:38:57.483,15:38:57.36","+56:36:18.15,+56:36:18",0.09,Ic,5,1,,
SN2019cwt,4/8/19,"20:00:40.177,20:00:40.08","-34:47:42.59,-34:47:43.08,-34:47:42.72",0.018086,Ic Pec,18,1,,
SN2019deh,4/7/19,"14:05:43.561,14:05:43.57","+09:30:56.70,+09:30:56.7",0.054411,Ibn,5,,,
SN2019daf,4/7/19,47:48.1,+72:03:00.38,0.035,IIb,2,,,
SN2019cqr,3/30/19,54:10.5,+61:11:41.30,0.1,Ic BL,3,1,,
SN2019cri,3/25/19,"13:54:02.720,13:54:02.64","+14:43:46.95,+14:43:46.92",0.05,Ic,6,1,,
SN2019cda,3/24/19,44:49.8,+06:36:04.03,0.02765,Ic,13,1,,
SN2019ccm,3/24/19,41:05.3,+73:40:23.02,0.014964,Ib,4,,,
SN2019cad,3/17/19,08:43.0,+44:48:46.04,0.02751,Ic,4,1,,
SN2019bwa,3/17/19,11:17.6,-25:02:09.45,0.021802,Ib Pec,1,1,,
SN2019but,3/14/19,24:07.1,+08:55:35.66,0.15,Ic BL,2,1,,
SN2019txl,3/14/19,32:59.4,+27:30:07.80,0.033863,Ib,1,,,
SN2019bzo,3/5/19,"15:55:34.445,15:55:34.56,15:55:34.44","+26:54:54.77,+26:54:54.72,+26:54:54.8",0.065,IIb,43,1,,
SN2019buy,3/4/19,"11:44:16.309,11:44:16.32","+55:06:02.01,+55:06:02.16",0.0549,Ib,29,1,,
SN2019bml,3/3/19,11:32.9,+29:22:24.20,0.0305,Ic,3,,,
SN2019bkc,3/2/19,00:22.5,-03:01:12.64,0.04,Ic,1,1,,
SN2019bjv,3/1/19,"16:25:38.651,16:25:38.64","+47:26:14.08,+47:26:13.92",0.0265,Ic,13,1,,
SN2019bhh,2/26/19,"14:47:29.096,14:47:29.10","-04:56:05.84,-04:56:05.8",0.0439,Ib,10,1,,
SN2019bao,2/24/19,"10:29:18.522,10:29:18.48,10:29:18.53","+06:07:21.83,+06:07:21.828,+06:07:21.8,+06:07:21.792",0.011885,IIb,15,1,,
SN2019aur,2/12/19,"03:01:10.424,03:01:10.416",+41:23:45.96,0.012369,IIb,22,1,,
SN2019bgl,2/12/19,22:03.0,+59:06:53.37,0.030583,Ib/c,3,1,,
SN2019atg,2/7/19,"12:02:58.102,12:02:58.08","-30:07:49.84,-30:07:49.8",0.044,Ib/c,3,1,,
SN2019azq,2/6/19,"15:16:39.558,15:16:39.6","-07:23:33.06,-07:23:33.324",0.034,Ic BL,14,1,,
SN2019ape,2/5/19,"10:51:42.538,10:51:42.53","+18:28:52.73,+18:28:52.7",0.02,Ic,14,1,,
SN2019amm,2/4/19,27:46.3,+06:08:46.84,0.031654,Ib,12,,,
SN2019all,1/31/19,06:51.4,-75:21:47.80,0.037473,Ib/c,33,1,,
SN2019aje,1/31/19,53:45.1,+46:38:52.96,0.127,Ic,11,1,,
SN2019ahg,1/29/19,"13:31:48.005,13:31:48","-02:36:31.00,-02:36:30.924",0.020257,Ic,4,1,,
SN2019agx,1/28/19,"13:29:56.640,13:29:56.64","+38:24:20.16,+38:24:19.8","0.036,0.035",Ib,59,1,,
SN2019abb,1/25/19,54:17.3,+14:16:22.63,0.015317,Ic,2,1,,
SN2019abp,1/24/19,23:26.5,+22:29:10.11,0.037628,IIb,2,1,,
SN2019xt,1/21/19,"14:11:55.721,14:11:55.73","-00:50:12.25,-00:50:11.8",0.032,IIb,9,,,
SN2019yz,1/20/19,"15:41:57.305,15:41:57.36,15:41:57.30","+00:42:39.41,+00:42:39.38,+00:42:39.4",0.006388,Ic,42,1,,
SN2019us,1/17/19,"07:29:08.563,07:29:08.58","+51:00:44.63,+51:00:44.6",0.029811,Ic,35,1,,
SN2019uo,1/17/19,"12:02:36.560,12:02:36.48","+41:03:42.30,+41:03:42.12",0.020454,Ibn,13,1,,
SN2019uq,1/17/19,18:49.8,-11:33:03.91,0.1,Ic,3,1,,
SN2019rn,1/12/19,"02:17:59.605,02:17:59.616","+14:32:00.41,+14:32:00.24",0.013052,IIb,11,1,,
SN2019qg,1/8/19,41:01.8,+38:59:09.74,0.08,Ic BL,3,1,,
SN2019ail,1/8/19,28:27.3,+12:42:21.81,0.032319,IIb,2,1,,
SN2018lei,12/31/18,"02:33:34.333,02:33:34.344","-39:02:42.41,-39:02:42.36",0.006585,Ic,1,1,,
SN2018liq,12/30/18,"04:50:28.004,04:50:28.008,04:50:28.00","+08:47:51.97,+08:47:51.828,+08:47:51.9",0.034,Ic,17,1,,
SN2018lai,12/28/18,"09:02:14.559,09:02:14.56","+14:30:26.41,+14:30:26.2",0.02985,Ib,15,,,
SN2018kzr,12/28/18,28:53.5,+01:06:38.71,0.056,Ic,3,1,,
SN2018kva,12/23/18,35:16.2,+48:19:03.36,0.0429,Ic,3,1,,
SN2018kjy,12/17/18,"06:47:17.953,06:47:17.95","+74:14:05.84,+74:14:05.8",0.017519,Ib-Ca-rich,11,,,
SN2018kqr,12/17/18,"08:50:03.608,08:50:03.60","+55:10:09.53,+55:10:09.4",0.045,Ic BL,10,,,
SN2018keq,12/17/18,22:42.0,+21:00:43.26,0.04,Ic BL,3,,,
SN2018jmt,12/8/18,54:47.1,-59:30:10.80,0.040541,Ibn,1,1,,
SN2018jme,12/6/18,"06:24:37.835,06:24:37.77","+50:58:30.73,+50:58:30.0",0.036939,Ic,28,1,,
SN2018jgs,12/1/18,"01:46:51.273,01:46:51.312","-08:03:31.06,-08:03:30.564",0.075308,Ib,7,1,,
Gaia18dpk,11/28/18,55:39.6,+58:02:35.52,,Ibn,6,,,
SN2018jfu,11/28/18,22:15.1,+05:09:24.13,0.028963,Ib,1,1,,
SN2018jee,11/25/18,"07:23:14.632,07:23:14.64","+56:31:30.45,+56:31:30.3",0.04,IIb,17,1,,
SN2018iuq,11/21/18,"07:05:53.440,07:05:53.52","+12:53:34.69,+12:53:34.8",0.028,IIb,33,1,,
SN2018jak,11/21/18,"09:59:18.200,09:59:18.18","+34:53:43.77,+34:53:43.7",0.038517,IIb,18,,,
SN2018jaw,11/20/18,"12:54:04.110,12:54:04.10","+13:32:47.85,+13:32:47.9",0.037,Ic,19,1,,
SN2018isl,11/16/18,"08:14:47.910,08:14:48","+33:53:17.96,+33:53:18.24",0.0445,Ib,6,,,
SN2018iug,11/15/18,"06:47:55.010,06:47:55.04","+67:55:00.15,+67:54:58.6",0.073,IIb,35,1,,
SN2018iqx,11/13/18,27:53.6,+19:27:38.44,0.02,Ib/c,3,1,,
SN2018ise,11/12/18,"07:07:16.770,07:07:16.74","+64:03:41.92,+64:03:41.8",0.0552,Ic,20,1,,
SN2018ium,11/10/18,"10:10:31.750,10:10:31.68","+10:02:39.43,+10:02:36.96",0.031695,Ic BL,14,,,
SN2018ijp,11/7/18,"10:21:38.050,10:21:38.04","+08:55:53.12,+08:55:53.0",0.0848,Ic,24,,,
SN2018htg,11/2/18,27:11.6,+49:29:44.93,0.044,Ib,3,,,
SN2018hsf,10/31/18,40:12.8,-19:58:44.94,0.119,Ic BL,3,,,
SN2018hpq,10/28/18,"18:28:41.255,18:28:41.28","+75:48:47.42,+75:48:47.52",0.124,Ic,9,,,
SN2018hom,10/24/18,"22:59:22.970,22:59:23.04","+08:45:05.07,+08:45:04.644",0.0362,Ic BL,94,1,,
SN2018hnw,10/22/18,"20:14:37.520,20:14:37.44","-19:21:01.63,-19:21:01.44",0.028,Ib/c,9,1,,
SN2018hru,10/21/18,"23:37:12.100,23:37:12.050,23:37:12,23:37:12.10","+40:43:18.39,+16:02:03.42,+40:43:18.48,+40:43:18.4",0.0649,Ia,37,1,,
SN2018hmk,10/18/18,"18:28:08.125,18:28:08.16","+34:18:15.74,+34:18:15.84",0.022709,Ib,8,1,,
SN2018hjx,10/15/18,"03:24:55.580,03:24:55.57","-02:49:19.58,-02:49:19.9",0.019964,Ib/c,13,2,,
SN2018hhs,10/11/18,49:58.2,+07:04:23.74,0.06,IIb,9,1,,
SN2018hqu,10/9/18,"12:16:33.785,12:16:33.84","+41:31:56.50,+41:31:56.64",0.05,IIb,15,,,
SN2018hdp,10/8/18,13:45.0,"+04:06:08.18,+04:06:08.172",0.011461,Ic,9,1,,
SN2018hcz,10/4/18,"01:05:20.515,01:05:20.52","-47:11:34.58,-47:11:34.44",0.021929,Ib/c,6,1,,
SN2018gwo,9/28/18,"12:08:38.910,12:08:38.88,12:08:38.83","+68:46:44.99,+68:46:44.4",0.007759,Ic,18,2,,
SN2018hxo,9/25/18,09:05.8,+14:32:27.95,0.048,Ic BL,1,,,
SN2018gsk,9/15/18,"04:09:11.620,04:09:11.544","+08:38:51.83,+08:38:50.568",0.011625,Ic,13,1,,
SN2018gle,9/15/18,"04:25:03.012,04:25:03.024,04:25:03.01","-14:36:47.92,-14:36:47.88,-14:36:47.7",0.0175,Ic,9,1,,
SN2018giu,9/15/18,27:49.2,+09:54:51.90,0.026,Ic BL,1,1,,
SN2018gju,9/15/18,08:11.8,-04:17:06.81,0.05,Ic BL,1,1,,
SN2018hyw,9/14/18,20:17.4,+20:52:32.20,0.016815,II,3,2,,
SN2018gsy,9/13/18,19:14.6,+60:56:22.60,0.073,Ic BL,3,,,
SN2018gep,9/9/18,43:48.2,+41:02:43.37,0.033,Ic BL,1,1,,
SN2018lqu,9/3/18,54:11.5,+13:30:50.87,0.0358,Ib-Ca-rich,1,1,,
SN2018fpb,8/31/18,"23:59:42.802,23:59:42.81,23:59:42.72","+34:20:39.91,+34:20:40.0,+34:20:39.84",0.0148,IIb,75,1,,
SN2018fzn,8/29/18,49:56.9,+59:35:34.18,0.0375,IIb,2,,,
SN2018fmt,8/27/18,21:00.9,-13:51:46.65,0.05,Ibn,3,1,,
SN2018fob,8/23/18,13:07.2,+41:16:11.07,0.029,Ic,3,,,
SN2018ffz,8/18/18,"06:36:01.090,06:36:01.44,06:36:01.08","+83:47:33.76,+83:47:33.72",0.01,Ic,6,1,,
SN2018fer,8/17/18,"20:33:05.240,20:33:05.28","-20:51:24.18,-20:51:24.48",0.136,Ia,10,2,,
SN2018fex,8/17/18,"03:55:20.774,03:55:20.808,03:55:20.784","-56:45:14.62,-56:45:14.4,-56:45:14.76",0.02428,IIb,9,1,,
Gaia18cfa,8/13/18,"17:52:56.305,17:52:56.4","-31:19:18.59,-31:19:18.48",,CV,50,,,
SN2018fcx,8/13/18,"04:05:56.721,04:05:56.712","-15:08:43.62,-15:08:43.8",0.025,II,18,1,,
SN2018fav,8/12/18,"00:45:58.582,00:45:58.584","-21:56:44.34,-21:56:44.52",0.037923,Ic,1,1,,
SN2018fbi,8/12/18,59:24.3,+45:54:06.91,0.049,Ib,1,1,,
SN2018lqo,8/10/18,28:43.3,+41:07:58.66,0.033,Ib-Ca-rich,1,1,,
SN2018etk,8/6/18,"15:17:02.540,15:17:02.64","+03:56:38.69,+03:56:38.796",0.04415,Ic,7,,,
SN2018eoe,8/3/18,"22:24:24.360,22:24:24.38","+18:04:18.76,+18:04:18.7",0.020457,Ib,13,,,
SN2018eva,8/2/18,52:10.7,+13:01:21.70,0.04,Ib,2,,,
SN2018erw,7/31/18,35:48.1,+21:44:19.81,0.023522,Ic,2,,,
SN2018ebt,7/20/18,"20:41:54.990,20:41:54.96,20:41:54.98","+64:12:52.65,+64:12:52.56,+64:12:52.6",0.03,Ic BL,31,1,,
SN2018eaw,7/19/18,"17:44:13.250,17:44:13.25","+66:42:46.68,+66:42:46.4",0.0472,Ic,8,,,
SN2018dzw,7/17/18,56:25.9,+46:53:56.65,0.036963,IIb,3,,,
SN2018ebq,7/16/18,42:26.5,+11:47:05.56,0.04,Ic,1,1,,
SN2018efd,7/15/18,19:59.7,+51:47:47.57,0.03,IIb,3,,,
SN2018dys,7/15/18,"12:55:10.144,12:55:10.08","-05:34:07.80,-05:34:07.788",0.055,Ic,2,1,,
SN2018dxt,7/13/18,58:53.6,+45:17:20.12,0.04,Ic,3,,,
SN2018dfg,7/10/18,06:34.7,-05:27:02.90,0.00948,II,2,1,,
AT2018ecg,7/10/18,00:20.9,-36:28:48.02,0.104,Ic,1,,,
SN2018dgx,7/9/18,48:05.3,+52:13:25.34,0.025318,Ic,3,1,,
SN2018dgs,7/5/18,"17:00:17.760,17:00:17.76","+38:23:31.28,+38:23:31.56,+38:23:31.2",0.0351,Ib,21,,,
SN2018ddu,7/4/18,35:46.6,+71:41:15.24,0.029651,Ic,3,,,
SN2018ddr,7/3/18,"13:58:38.470,13:58:38.4","+07:13:01.24,+07:13:01.272",0.01468,IIb,7,1,,
SN2018cwx,6/29/18,"23:01:12.280,23:01:12.28","+04:15:36.87,+04:15:36.3",0.05,Ic,17,1,,
SN2018dbg,6/28/18,"14:17:58.860,14:17:58.8","+26:24:44.59,+26:24:44.64",0.01479,Ib/c,7,,,
AT2018cvl,6/25/18,02:55.3,-07:55:10.69,0.0586,Ib/IIb,1,,,
SN2018ctw,6/21/18,57:57.7,-38:01:14.80,0.037062,Ib Pec,1,1,,
SN2018cve,6/17/18,25:23.5,+31:49:26.33,0.039,Ic,3,,,
SN2018cow,6/16/18,"16:16:00.220,16:16:00.24","+22:16:04.83,+22:16:04.8",0.014145,Ic BL,15,,,
Gaia18boc,6/16/18,"03:21:13.767,03:21:13.776","-57:13:31.26,-57:13:31.08",0.02,Ib/c,14,1,,
SN2018ckd,6/12/18,"14:06:11.930,14:06:12",+09:20:39.84,0.024,Ib-Ca-rich,1,,,
SN2018cim,6/6/18,"15:57:39.270,15:57:39.36","+78:36:44.11,+78:36:43.92",0.035,Ib,15,,,
SN2018cem,6/4/18,"16:05:34.820,16:05:34.73","+32:39:47.27,+32:39:47.5",0.029661,Ia,20,1,,
ASASSN-18ll,6/2/18,"15:11:42.606,15:11:42.72","+06:25:12.00,+06:25:12",0.031916,Ibn,2,,,
SN2018cew,6/1/18,"23:52:24.200,23:52:24.24","+28:46:30.60,+28:46:30",0.02245,Ib,7,1,,
SN2018cbz,5/31/18,"13:41:18.610,13:41:18.72","-04:20:46.54,-04:20:46.716",0.0223,Ic,8,1,,
SN2018bvi,5/20/18,"14:14:18.420,14:14:18.42,14:14:18.48","+10:40:41.56,+10:40:41.6,+10:40:41.52",0.02417,Ib,12,1,,
SN2018bsg,5/15/18,"10:10:28.160,10:10:28.08","+02:13:48.76,+02:13:48.504,+02:13:48.756",0.021686,IIb,5,1,,
SN2018ltk,5/13/18,54:17.4,+14:16:24.01,0.0153,Ic,1,,,
SN2018bjp,5/7/18,43:33.6,-23:34:47.73,0.07,Ic,1,1,,
SN2018bho,5/5/18,51:11.0,+17:11:39.46,0.04502,IIb,3,,,
SN2018bvw,5/5/18,52:43.6,+25:40:30.12,0.054,Ic BL,2,,,
SN2018beh,5/4/18,"09:31:23.028,09:31:23.02,09:31:23.04","+17:48:27.90,+17:48:28.0,+17:48:27.72",0.06,Ib/c,7,1,,
SN2018bfp,4/24/18,24:38.2,-02:34:51.99,0.053,Ib,3,1,,
SN2018bfu,4/24/18,15:29.0,-13:19:32.36,0.045331,Ic,2,1,,
SN2018bgp,4/24/18,58:12.0,+49:19:13.33,0.053,Ib,1,,,
SN2018avy,4/17/18,"11:55:01.155,11:55:01.2","+32:04:31.27,+32:04:31.44",0.031,Ib/c,12,,,
SN2018avk,4/14/18,"13:11:27.748,13:11:27.84",+65:38:17.16,0.132,Ic,19,1,,
SN2018arx,4/9/18,"14:06:34.807,14:06:34.8","-32:34:44.06,-32:34:43.32,-32:34:44.04",0.033853,IIb,13,1,,
SN2018alc,3/24/18,"14:33:19.875,14:33:19.92,14:33:19.98","+41:16:01.50,+41:16:02.28,+41:16:02.3,+41:16:01.56",0.01814,Ib,42,1,,
SN2018aks,3/22/18,"10:29:51.628,10:29:51.6,10:29:51.70","+09:00:46.830,+09:00:46.584,+09:00:46.836,+09:00:46.30",0.04797,Ic,9,1,,
SN2018akj,3/21/18,"12:27:11.330,12:27:11.32,12:27:11.28","-07:41:48.48,-07:41:48.9",0.029307,Ib,5,1,,
SN2018ajg,3/17/18,19:59.4,-10:28:49.12,0.056,Ic,2,1,,
PS18kz,3/8/18,25:31.2,-14:21:05.21,0.022389,Ic,3,,,
SN2018abo,2/26/18,"11:51:59.839,11:51:59.76","+09:42:11.21,+09:42:11.196",0.050822,Ic,1,1,,
SN2018yg,2/23/18,"12:25:58.541,12:25:58.56","+04:28:26.30,+04:28:26.292",0.018469,Ic BL,3,1,,
SN2018yn,2/23/18,"11:46:13.030,11:46:12.96","+20:23:18.60,+20:23:18.6",0.02329,Ic,3,1,,
ASASSN-18dj,2/19/18,"06:00:58.907,06:00:58.92","-17:59:33.03,-17:59:33",0.0221,Ic BL,1,,,
SN2018wh,2/12/18,"20:47:17.631,20:47:17.52","-84:37:27.72,-84:37:27.84",0.050148,Ib/c,4,1,,
SN2018oz,2/3/18,"03:34:19.759,03:34:19.752","+39:35:34.55,+39:35:34.44",0.018109,Ic,7,1,,
SN2018ow,1/30/18,"02:51:04.410,02:51:04.41","+09:06:44.32,+09:06:44.2",0.01,IIb,5,1,,
SN2018ot,1/29/18,"13:04:58.730,13:04:58.73","+30:30:18.88,+30:30:18.8",0.0355,Ib,8,1,,
SN2018mc,1/29/18,"18:01:00.832,18:01:00.72","+61:41:46.92,+61:41:47.04",0.035,IIb,2,1,,
SN2018kq,1/24/18,"09:24:57.269,09:24:57.36","+40:23:56.14,+40:23:56.04",0.027804,Ic BL,2,1,,
SN2018jq,1/21/18,"12:56:48.381,12:56:48.48","+03:53:27.24,+03:53:27.204",0.025,Ib,5,1,,
SN2018ie,1/18/18,"10:54:00.96,10:54:01.060","-16:01:21.72,-16:01:21.40",0.014233,Ic BL,2,1,,
SN2018if,1/18/18,14:23.8,+49:35:32.90,0.031,Ic BL,2,1,,
SN2018aii,1/15/18,22:10.4,+26:59:40.44,0.079164,Ic,2,1,,
SN2018hb,1/14/18,06:15.3,+17:20:21.64,0.114,Ib,2,1,,
SN2018gj,1/12/18,"16:32:02.305,16:32:02.4,16:32:02.28","+78:12:40.94,+78:12:41.04,+78:12:40.9","0.004543,0.004556",IIb,27,2,,
SN2018lrd,1/10/18,28:30.4,+58:33:44.04,0.00999,Ib,1,1,,
SN2018ec,1/3/18,27:50.8,-43:54:06.30,0.009354,Ic,1,1,,
SN2018J,1/2/18,"11:00:57.108,11:00:57.12","-25:47:13.27,-25:47:13.2",,Ia/Ic,75,,,
SN2018bf,1/1/18,57:46.6,+25:38:33.56,0.025,Ic,1,1,,
SN2017jmj,12/29/17,"10:43:50.400,10:43:50.4,10:43:50.36","+06:45:54.50,+06:45:55.224,+06:45:55.3,+06:45:55.188",0.027881,Ic,41,1,,
SN2017jfv,12/25/17,"13:38:25.347,13:38:25.44","-31:15:52.71,-31:15:52.56",0.038,Ibn,3,1,,
SN2017jdn,12/24/17,"10:23:45.510,10:23:45.36","+53:06:20.50,+53:06:18.72",0.0317,IIb,16,1,,
PS17fke,12/23/17,07:17.5,+20:56:39.51,0.07,Ib,2,,,
PS17fkd,12/23/17,02:56.7,+12:03:04.27,0.08,IIb,1,,,
SN2017jea,12/23/17,"07:15:00.042,07:15:00","+46:22:43.79,+46:22:43.68",0.045,Ib/c,1,1,,
SN2017jbl,12/20/17,"03:33:12.730,03:33:12.73",+36:11:24.60,0.015054,IIb,2,1,,
SN2017ixv,12/17/17,"19:21:31.240,19:21:31.24",+61:08:51.76,0.007302,Ic BL,1,1,,
SN2017izz,12/16/17,"14:51:21.974,14:51:22.08","+28:35:25.69,+28:35:25.8",0.03,Ib/c,8,1,,
SN2017ixz,12/14/17,"07:47:03.030,07:47:03.07","+26:46:25.77,+26:46:25.8",0.024,IIb,15,1,,
SN2017iyd,12/13/17,"11:46:25.400,11:46:25.38,11:46:25.44","+01:59:33.18,+01:59:33.7,+01:59:34.08",0.0285,IIb,52,1,,
SN2017ixh,12/12/17,"06:44:26.500,06:44:26.64","-63:42:40.00,-63:42:41.76",0.011,Ib/c,13,1,,
SN2017iwp,12/10/17,"07:01:44.715,07:01:44.64","-55:18:20.02,-55:18:20.16",0.061,Ibn,3,1,,
SN2017iwh,12/9/17,"10:46:32.649,10:46:32.64","-45:32:25.87,-45:32:25.8",0.042,Ic,17,1,,
SN2017iuk,12/7/17,"11:09:39.520,11:09:39.120,11:09:39.6,11:09:39.52","-12:35:18.34,-12:35:06.90,-12:35:18.6,-12:35:18.4",0.037022,Ic BL,11,,,
