Name,Disc. Date,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray
SN2021krf,4/30/21,51:17.4,+00:31:14.51,0.013565,Ic Pec,,1,,
SN2021ksr,4/30/21,13:41.6,+70:44:36.54,0.053,Ib,,1,,
SN2021kxr,4/30/21,40:44.9,+45:09:44.87,0.052068,Ib,,1,,
SN2021kev,4/19/21,42:16.7,+08:59:47.41,0.031275,Ib,,1,,
SN2021kcf,4/18/21,29:42.8,+70:49:00.60,0.015,Ib/c,,1,,
SN2021jvf,4/15/21,43:58.3,-20:40:29.72,0.027712,Ic,,1,,
SN2021jvj,4/15/21,03:55.6,+26:02:57.58,0.03328,IIb,,1,,
SN2021jmg,4/13/21,16:51.9,+14:24:54.15,0.058865,Ic,,1,,
SN2021jpk,4/13/21,39:00.0,+12:40:10.02,0.037978,Ibn,,1,,
SN2021jbk,4/11/21,45:08.1,-44:29:29.22,0.05,Ib,,1,,
SN2021iyt,4/9/21,18:44.4,+00:03:19.37,0.0712,Ibn,,1,,
SN2021inl,4/7/21,01:33.2,+27:49:55.12,0.02,Ib Pec,,1,,
SN2021hyz,4/3/21,27:36.5,+04:27:10.87,0.046169,Ic BL,,1,,
SN2021hpv,4/2/21,02:57.4,-11:44:01.40,0.029257,Ic,,1,,
ASASSN-21en,3/31/21,"20:32:02.105,20:32:02.16","-53:44:58.50,-53:44:58.56",0.010908,Ic BL,,1,,
SN2021hlv,3/29/21,40:56.8,+69:07:53.04,0.021698,IIb,,1,,
SN2021gvl,3/21/21,21:38.1,+35:39:11.58,0.0364,Ic,,1,,
SN2021gno,3/20/21,12:10.3,+13:14:57.05,0.006211,Ib,,1,,
SN2021hec,3/17/21,"21:40:25.156,21:40:25.2","+28:42:50.79,+28:42:50.76",0.029,IIb,,11,,
SN2021fxa,3/17/21,56:28.0,+48:25:35.33,0.052,Ibn,,1,,
SN2021fop,3/15/21,46:42.9,+07:12:38.57,0.05,Ic BL,,1,,
SN2021fsb,3/15/21,20:56.7,-00:22:25.24,0.0535,IIb,,1,,
SN2021flv,3/11/21,14:09.7,+09:35:33.61,0.039,Ic,,1,,
SN2021esi,3/7/21,50:03.4,+27:29:09.93,0.03,IIb,,1,,
SN2021epp,3/5/21,10:55.3,-06:02:49.39,0.0385,Ic BL,,1,,
Gaia21bes,3/2/21,"08:09:13.443,08:09:13.44","+31:22:22.91,+31:22:22.8",,BL,,91,,
SN2021efd,3/2/21,24:24.7,+23:38:58.31,0.027859,Ib/c,,1,,
SN2021dwg,2/27/21,18:16.0,+00:53:18.34,0.025839,Ic,,1,,
SN2021dps,2/22/21,20:58.0,+36:18:44.24,0.057,Ibn,,1,,
SN2021dfz,2/17/21,36:43.1,+52:30:00.64,0.102,Ibn,,1,,
SN2021dah,2/15/21,"02:36:49.692,02:36:49.704","+45:23:18.31,+45:23:18.24",0.018,Ic,,16,,
Gaia21atb,2/12/21,"22:44:12.731,22:44:12.72","+40:57:13.61,+40:57:13.68",,BL,,145,,
SN2021cse,2/11/21,53:18.7,+09:31:31.59,0.0375,Ic,,1,,
